carat,cut,color,clarity,depth,table,price,x,y,z
1.7,Premium,E,VS2,62.9,58.0,17323,7.57,7.54,4.75
0.71,Good,F,VS2,57.8,60.0,2801,5.9,5.87,3.4
1.04,Ideal,H,VS1,62.7,57.0,5577,6.42,6.46,4.04
0.7,Ideal,E,SI2,61.2,55.0,2239,5.76,5.68,3.5
0.5,Ideal,D,VS2,62.0,56.0,1628,5.1,5.13,3.17
0.7,Ideal,F,SI1,62.0,55.0,2415,5.72,5.7,3.54
0.31,Ideal,F,IF,62.3,54.0,921,4.33,4.34,2.7
0.35,Ideal,E,VS2,61.5,55.0,767,4.52,4.56,2.79
1.2,Premium,H,SI1,62.9,55.0,5975,6.77,6.74,4.25
1.4,Premium,F,VS2,61.5,60.0,10625,7.25,7.18,4.44
0.91,Good,F,SI2,56.9,62.0,2461,6.51,6.45,3.69
0.3,Ideal,F,VVS1,62.1,55.0,1114,4.32,4.31,2.68
0.34,Ideal,F,VVS1,62.0,56.0,967,4.45,4.49,2.77
1.18,Premium,G,VVS2,58.2,62.0,9188,6.92,6.89,4.02
1.25,Premium,I,VS1,60.4,59.0,6545,6.94,7.01,4.21
0.73,Ideal,E,SI1,62.8,57.0,2728,5.73,5.74,3.6
0.76,Ideal,I,VS2,61.8,56.0,3577,5.85,5.89,3.63
0.5,Good,D,SI2,58.5,64.0,1015,5.2,5.12,3.02
0.71,Very Good,E,VS2,62.9,55.0,2590,5.72,5.76,3.61
0.73,Ideal,J,VS1,62.0,53.0,2121,5.78,5.82,3.6
0.91,Very Good,E,VS2,61.6,58.0,4823,6.18,6.2,3.81
2.01,Premium,I,VS2,61.1,60.0,17592,8.12,8.06,4.94
0.73,Very Good,F,SI1,59.7,60.0,2473,5.83,5.9,3.5
2.48,Very Good,H,SI2,63.3,56.0,15746,8.6,8.55,5.43
1.02,Very Good,E,SI2,62.8,55.0,4398,6.4,6.43,4.03
0.54,Ideal,E,VS2,62.4,56.0,1765,5.23,5.19,3.25
0.55,Ideal,F,SI2,61.2,56.0,1175,5.23,5.29,3.22
1.01,Fair,E,SI2,67.4,60.0,2797,6.19,6.05,4.13
0.25,Ideal,F,VS1,61.8,56.0,595,4.07,4.09,2.52
0.5,Good,E,SI1,63.7,56.0,1316,5.02,5.06,3.21
0.54,Very Good,D,VS1,62.1,59.0,2004,5.18,5.19,3.22
0.32,Ideal,E,VS2,62.0,54.0,900,4.41,4.37,2.72
0.4,Ideal,G,SI1,61.3,56.0,701,4.73,4.76,2.91
0.75,Very Good,H,SI2,60.4,60.0,2106,5.89,5.93,3.57
1.0,Premium,E,SI1,61.9,60.0,5544,6.46,6.37,3.97
0.91,Premium,H,SI1,62.2,60.0,3669,6.22,6.16,3.85
1.23,Premium,G,SI2,62.1,58.0,4918,6.85,6.8,4.24
1.02,Premium,F,SI1,62.6,58.0,4455,6.42,6.36,4.0
1.07,Very Good,E,SI2,61.7,58.0,5304,6.54,6.56,4.04
1.01,Premium,E,VS2,62.0,59.0,6666,6.44,6.46,4.0
0.31,Premium,H,VVS1,61.9,58.0,907,4.34,4.32,2.68
0.32,Very Good,G,IF,62.1,53.0,918,4.4,4.45,2.75
0.83,Ideal,G,SI1,62.1,57.0,3044,6.03,5.95,3.72
2.3,Ideal,H,SI2,62.6,57.0,14215,8.4,8.35,5.25
0.31,Very Good,G,SI1,62.8,55.0,462,4.32,4.38,2.73
1.51,Very Good,H,SI1,60.6,59.0,10331,7.41,7.45,4.5
1.5,Very Good,F,VS2,63.9,57.0,13037,7.16,7.23,4.6
1.36,Good,F,SI1,57.5,60.0,7197,7.36,7.31,4.22
0.3,Premium,F,VS2,62.8,58.0,776,4.28,4.25,2.68
1.01,Very Good,D,SI2,59.7,58.0,4564,6.55,6.61,3.93
0.74,Premium,E,VS1,61.1,58.0,3401,5.84,5.81,3.56
0.32,Ideal,H,VS1,61.1,56.0,561,4.44,4.46,2.72
1.23,Very Good,H,SI1,62.3,58.0,6542,6.79,6.83,4.24
0.57,Ideal,F,VS2,62.1,55.0,1760,5.35,5.31,3.31
1.19,Premium,H,VS2,62.6,56.0,6198,6.81,6.76,4.25
1.02,Good,D,SI2,64.1,58.0,4459,6.25,6.32,4.03
0.52,Ideal,G,VVS2,62.3,56.0,1906,5.15,5.18,3.22
0.76,Very Good,G,SI2,62.0,57.0,2422,5.82,5.86,3.62
0.41,Ideal,E,SI1,62.6,57.0,755,4.72,4.73,2.96
0.71,Good,I,VS1,64.2,56.0,2161,5.62,5.66,3.62
1.0,Premium,F,SI1,62.6,60.0,5197,6.3,6.32,3.95
0.7,Very Good,E,VS2,61.8,59.0,2952,5.63,5.67,3.49
0.7,Ideal,H,SI1,61.9,57.0,2107,5.66,5.69,3.51
0.71,Very Good,F,SI2,63.6,56.0,2098,5.58,5.67,3.58
1.37,Premium,G,VS2,61.6,59.0,7951,7.11,7.04,4.36
0.39,Premium,F,VVS1,59.7,58.0,1232,4.73,4.75,2.83
0.47,Ideal,I,VVS1,61.0,56.0,1050,5.02,5.04,3.07
0.77,Ideal,I,SI2,61.6,57.0,2425,5.87,5.92,3.63
1.05,Very Good,G,VVS2,59.8,60.0,7667,6.54,6.61,3.93
0.32,Ideal,G,VVS2,62.1,57.0,936,4.42,4.4,2.74
1.0,Fair,D,SI2,64.5,54.0,4312,6.34,6.28,4.07
0.41,Premium,E,SI2,62.9,58.0,876,4.77,4.74,2.99
1.69,Ideal,H,I1,62.0,56.0,6636,7.61,7.66,4.73
1.44,Very Good,D,VS2,63.1,56.0,10967,7.15,7.12,4.5
1.07,Ideal,E,VS2,61.8,58.0,7240,6.53,6.61,4.06
0.49,Fair,D,VS2,57.5,68.0,1249,5.18,5.11,2.96
0.27,Ideal,E,VVS2,61.9,56.0,760,4.16,4.19,2.58
0.5,Very Good,D,SI1,63.4,56.0,1354,5.01,5.06,3.19
1.01,Premium,F,SI1,59.1,59.0,4989,6.56,6.5,3.86
1.96,Premium,H,SI2,60.4,62.0,9769,7.96,7.9,4.79
0.43,Premium,G,VS2,61.2,58.0,867,4.84,4.9,2.98
1.52,Ideal,G,VS2,61.5,56.0,13153,7.38,7.45,4.56
0.45,Ideal,G,SI1,61.6,54.0,831,4.96,4.98,3.06
0.58,Ideal,D,VS1,61.4,57.0,2067,5.41,5.34,3.3
1.21,Ideal,E,VS2,60.3,60.0,9449,6.92,6.88,4.16
0.24,Very Good,F,VVS2,62.2,58.0,552,3.97,4.01,2.48
1.14,Ideal,F,VS1,61.1,55.0,8953,6.74,6.78,4.13
0.4,Premium,F,VS1,60.3,60.0,1050,4.81,4.77,2.89
2.01,Fair,G,SI2,65.0,60.0,13721,7.8,7.73,5.05
1.22,Ideal,H,VVS2,61.7,56.0,9366,6.83,6.87,4.23
0.44,Ideal,E,VS2,61.5,56.0,1003,4.9,4.92,3.02
0.54,Ideal,G,VVS2,60.6,56.0,1985,5.26,5.27,3.19
0.55,Ideal,E,VS1,62.2,55.0,2079,5.26,5.22,3.26
0.55,Very Good,H,VS2,60.2,59.0,1327,5.36,5.24,3.19
1.05,Very Good,E,I1,62.2,61.0,3234,6.48,6.51,4.04
0.51,Very Good,H,VS2,60.1,59.8,1328,5.14,5.19,3.1
0.7,Very Good,F,VS2,62.3,58.0,2812,5.64,5.72,3.54
0.32,Ideal,F,VS1,62.0,54.0,876,4.44,4.43,2.75
1.51,Premium,D,SI1,62.5,60.0,11760,7.27,7.23,4.54
0.63,Ideal,E,VVS2,61.6,57.0,2697,5.52,5.49,3.39
1.11,Premium,H,SI1,62.8,61.0,5315,6.63,6.56,4.14
1.5,Premium,H,VS1,61.1,58.0,11007,7.46,7.37,4.53
0.58,Premium,I,VVS1,62.6,59.0,1758,5.31,5.27,3.31
2.08,Premium,H,I1,61.7,57.0,6150,8.23,8.18,5.06
0.41,Premium,E,VS2,59.8,60.0,999,4.87,4.83,2.9
0.32,Very Good,E,SI1,63.1,56.0,672,4.37,4.34,2.75
0.81,Ideal,D,SI1,62.0,56.0,3852,5.97,6.0,3.71
0.73,Very Good,D,VS2,60.5,59.0,3411,5.76,5.84,3.51
0.42,Very Good,F,VS1,59.8,57.0,921,4.85,4.89,2.91
0.4,Ideal,G,VVS1,61.2,56.0,1059,4.74,4.8,2.92
1.0,Ideal,E,VS2,62.5,57.0,7177,6.38,6.45,4.01
0.39,Very Good,G,VS1,60.3,59.0,790,4.71,4.77,2.86
0.5,Very Good,E,SI1,59.4,60.0,1293,5.14,5.16,3.06
0.35,Ideal,D,VVS2,61.6,54.0,945,4.55,4.57,2.81
0.32,Premium,H,VS2,62.7,58.0,605,4.35,4.33,2.72
1.0,Ideal,F,SI2,62.7,57.0,4155,6.34,6.29,3.96
1.01,Very Good,H,SI1,60.2,60.0,4617,6.5,6.48,3.91
0.54,Ideal,E,SI2,60.7,56.0,1340,5.3,5.25,3.2
1.04,Premium,H,SI1,62.1,56.0,4316,6.48,6.41,4.01
1.01,Very Good,I,SI1,63.2,55.0,3676,6.4,6.32,4.02
0.71,Premium,F,SI1,62.3,60.0,2458,5.68,5.65,3.53
0.31,Ideal,H,VS2,62.2,53.0,628,4.43,4.38,2.74
0.4,Very Good,H,VVS2,63.2,55.0,1125,4.73,4.7,2.98
1.53,Ideal,G,VVS1,61.8,55.0,15992,7.43,7.45,4.59
1.0,Premium,F,SI1,59.0,59.0,4144,6.55,6.5,3.85
0.41,Premium,E,VVS1,60.7,58.0,1367,4.8,4.86,2.93
0.73,Very Good,E,SI2,63.3,57.0,2409,5.72,5.69,3.61
0.72,Ideal,G,SI2,62.1,54.0,2079,5.77,5.82,3.6
0.4,Premium,E,VS1,61.2,59.0,1125,4.76,4.72,2.9
1.0,Fair,G,VS1,64.4,56.0,5908,6.31,6.26,4.05
1.02,Ideal,H,I1,62.1,56.0,3987,6.45,6.4,3.99
0.3,Ideal,F,VS2,62.1,53.6,601,4.28,4.31,2.67
0.92,Very Good,I,SI1,63.3,58.0,3323,6.18,6.14,3.9
0.45,Fair,F,VS2,64.2,58.0,1037,4.9,4.75,3.1
0.6,Very Good,H,VS2,64.2,57.0,1597,5.27,5.32,3.4
0.9,Good,G,VS2,63.9,61.0,3792,6.01,5.97,3.83
0.9,Premium,J,SI2,62.7,57.0,2717,6.09,6.06,3.8
1.0,Very Good,I,SI1,63.1,58.0,4149,6.3,6.35,3.99
2.07,Premium,E,SI2,58.9,61.0,13786,8.45,8.35,4.95
0.4,Ideal,E,VS1,61.3,56.0,1252,4.76,4.8,2.93
0.59,Very Good,D,VVS2,60.6,59.0,2933,5.44,5.49,3.31
1.02,Premium,E,SI1,61.5,58.0,5278,6.51,6.46,3.99
1.16,Premium,H,SI1,62.8,57.0,5702,6.73,6.67,4.21
0.33,Ideal,H,IF,61.6,55.0,820,4.44,4.47,2.74
0.71,Ideal,I,VS1,62.1,56.0,2327,5.72,5.68,3.54
0.33,Premium,I,VS2,61.1,59.0,463,4.4,4.44,2.7
1.01,Premium,F,SI2,60.9,60.0,3297,6.45,6.42,3.91
0.31,Premium,E,VS2,61.6,59.0,872,4.35,4.32,2.67
0.56,Ideal,H,VS1,61.6,56.0,1949,5.31,5.34,3.28
0.41,Good,E,SI1,63.6,58.0,904,4.74,4.72,3.01
0.81,Very Good,G,SI2,62.7,56.0,2649,5.91,5.96,3.72
0.31,Ideal,I,IF,60.9,57.0,635,4.39,4.44,2.69
0.9,Premium,G,SI1,60.1,59.0,3326,6.25,6.2,3.74
2.03,Premium,G,VS2,59.6,60.0,18680,8.27,8.21,4.91
0.91,Very Good,G,VS2,62.3,59.0,5484,6.13,6.17,3.83
0.75,Very Good,E,SI1,62.4,57.0,2517,5.79,5.85,3.63
0.7,Good,I,VS1,64.3,58.0,2271,5.56,5.61,3.59
1.0,Very Good,G,SI1,61.0,56.7,5522,6.44,6.47,3.94
0.58,Ideal,E,VS2,61.8,57.0,1903,5.32,5.36,3.3
1.21,Premium,H,VS2,60.8,62.0,5461,6.82,6.78,4.13
0.7,Ideal,D,VS1,62.5,57.0,3361,5.65,5.68,3.54
0.41,Premium,D,SI2,62.3,58.0,683,4.73,4.77,2.96
0.33,Ideal,F,VS2,61.2,54.0,666,4.47,4.49,2.74
0.29,Very Good,F,VVS1,62.3,58.0,664,4.22,4.25,2.64
0.32,Ideal,E,VS1,61.6,57.0,972,4.39,4.35,2.69
0.7,Fair,F,I1,70.8,56.0,992,5.38,5.33,3.79
0.41,Good,J,IF,63.5,54.0,827,4.7,4.75,3.0
0.34,Ideal,E,VVS2,60.8,58.0,838,4.51,4.53,2.75
1.0,Very Good,F,VS1,61.9,58.0,7450,6.34,6.37,3.94
0.31,Ideal,F,VS2,61.8,56.0,802,4.37,4.33,2.69
1.25,Ideal,I,SI1,61.0,56.0,6352,6.97,7.02,4.27
1.01,Good,E,SI1,58.1,59.0,5627,6.57,6.65,3.84
0.32,Ideal,E,IF,61.2,57.0,1300,4.4,4.43,2.7
0.42,Premium,G,VS2,60.6,58.0,847,4.83,4.88,2.94
0.6,Ideal,I,SI1,62.1,55.0,1390,5.39,5.42,3.35
0.71,Premium,I,SI1,61.7,56.0,1774,5.73,5.71,3.53
0.52,Ideal,G,VVS2,61.2,55.0,1878,5.22,5.2,3.19
0.32,Ideal,F,VS2,61.1,57.0,645,4.4,4.44,2.7
0.31,Ideal,D,VVS2,61.9,56.0,779,4.32,4.37,2.69
0.4,Very Good,F,SI1,62.3,57.0,737,4.67,4.74,2.93
0.31,Ideal,E,VS2,60.5,56.0,680,4.38,4.41,2.66
1.24,Ideal,G,VVS1,62.3,56.0,10724,6.86,6.89,4.28
0.91,Premium,G,SI2,60.1,62.0,3047,6.24,6.2,3.73
1.51,Premium,G,SI1,62.4,62.0,10688,7.25,7.12,4.48
0.42,Premium,E,VS1,59.5,59.0,1105,4.86,4.88,2.9
0.5,Premium,G,VS1,59.9,59.0,1624,5.12,5.16,3.08
2.0,Good,E,SI2,57.7,61.0,17760,8.31,8.19,4.76
1.01,Good,G,SI1,63.2,59.0,5021,6.32,6.36,4.01
0.33,Ideal,F,IF,61.8,55.0,1028,4.47,4.49,2.77
0.28,Ideal,D,VVS2,61.1,55.0,827,4.23,4.28,2.6
0.32,Very Good,G,VS2,60.1,61.0,524,4.41,4.44,2.66
0.3,Ideal,G,VVS2,62.9,55.0,878,4.32,4.3,2.71
0.95,Premium,F,SI2,58.4,57.0,2867,6.49,6.41,3.77
1.7,Ideal,H,SI2,61.2,56.0,9444,7.71,7.64,4.7
0.31,Premium,H,IF,61.0,58.0,1046,4.38,4.34,2.66
0.51,Ideal,G,VS1,62.2,55.0,1781,5.14,5.11,3.19
0.4,Ideal,H,SI1,62.0,56.0,855,4.74,4.68,2.92
2.05,Premium,I,VS1,60.3,59.0,12766,8.25,8.21,4.96
0.33,Very Good,G,VVS1,61.2,57.0,795,4.47,4.5,2.74
1.01,Premium,D,SI1,61.8,60.0,5543,6.37,6.35,3.93
0.43,Ideal,I,VS2,61.8,55.0,716,4.85,4.89,3.01
1.23,Ideal,G,VVS2,60.3,57.0,10304,6.98,6.97,4.21
0.4,Ideal,I,VS2,62.3,54.0,667,4.74,4.77,2.96
0.34,Good,H,SI1,63.7,57.0,628,4.45,4.44,2.83
1.24,Ideal,F,VS1,62.2,55.0,9333,6.89,6.87,4.28
0.73,Ideal,D,VVS2,62.2,56.0,4252,5.79,5.73,3.58
0.9,Ideal,G,VS2,61.7,56.0,4773,6.19,6.26,3.84
0.41,Premium,F,VS2,61.6,59.0,863,4.74,4.77,2.93
1.21,Very Good,I,VS1,61.2,58.0,5866,6.85,6.91,4.21
0.38,Ideal,E,VS1,61.6,56.0,1069,4.66,4.62,2.86
0.35,Good,E,SI2,64.0,55.0,588,4.49,4.45,2.86
0.42,Premium,I,SI2,61.5,59.0,552,4.78,4.84,2.96
1.01,Premium,E,SI2,61.8,61.0,3801,6.35,6.29,3.9
0.79,Very Good,I,SI1,62.5,57.0,2425,5.89,5.91,3.69
1.5,Fair,H,SI2,64.6,59.0,6250,7.2,7.11,4.62
2.21,Ideal,G,SI2,60.2,60.0,18128,8.38,8.47,5.07
0.4,Very Good,I,VS1,61.7,57.0,741,4.71,4.73,2.91
0.54,Ideal,E,VS2,61.9,57.0,1847,5.23,5.2,3.23
0.26,Very Good,E,SI1,62.0,54.0,384,4.08,4.11,2.54
1.21,Premium,I,VS1,61.9,58.0,5739,6.76,6.81,4.2
0.27,Very Good,G,VVS2,62.1,56.0,504,4.14,4.18,2.58
0.35,Premium,F,VS2,62.0,59.0,906,4.55,4.51,2.81
0.3,Ideal,F,VVS1,61.6,57.0,1041,4.33,4.34,2.67
2.1,Premium,I,VS2,60.7,61.0,14394,8.28,8.27,5.02
2.28,Very Good,H,SI2,63.3,54.0,12907,8.36,8.29,5.27
0.52,Very Good,G,VS1,60.2,57.0,1618,5.22,5.26,3.15
1.01,Very Good,E,SI1,63.1,57.0,5973,6.4,6.37,4.03
1.04,Very Good,D,VS2,63.1,54.0,7679,6.44,6.53,4.09
1.11,Fair,H,SI1,65.7,61.0,5178,6.42,6.39,4.21
1.01,Fair,H,SI1,64.5,59.0,3869,6.27,6.23,4.03
0.52,Very Good,I,SI1,60.3,61.0,1041,5.14,5.2,3.12
0.77,Ideal,F,SI1,61.9,57.0,2642,5.88,5.91,3.65
0.31,Premium,G,VS1,61.8,59.0,802,4.35,4.32,2.68
0.31,Premium,E,VVS1,58.9,59.0,969,4.48,4.41,2.62
0.3,Very Good,I,VS1,60.8,59.0,473,4.3,4.32,2.62
0.48,Very Good,E,VS1,59.1,62.0,1616,5.14,5.18,3.05
1.53,Good,H,I1,62.3,55.6,6361,7.34,7.38,4.59
1.02,Ideal,J,SI1,62.8,54.0,3856,6.46,6.43,4.05
0.48,Premium,F,SI1,60.6,62.0,1110,5.06,5.0,3.05
1.43,Very Good,D,SI1,63.5,56.0,9450,7.24,7.09,4.55
1.04,Ideal,H,SI2,62.0,57.0,3669,6.53,6.43,4.02
0.72,Fair,G,VS2,64.6,55.0,2306,5.66,5.71,3.67
0.9,Very Good,D,VS1,63.0,56.0,5757,6.13,6.18,3.88
0.32,Ideal,H,VS2,62.5,55.0,648,4.42,4.38,2.75
0.32,Ideal,D,VS2,61.3,57.0,713,4.44,4.46,2.73
1.03,Ideal,I,VS1,60.9,56.0,5206,6.52,6.59,3.99
0.41,Ideal,D,SI1,61.0,57.0,791,4.78,4.8,2.92
1.07,Ideal,D,VS2,62.5,57.0,8202,6.48,6.51,4.06
0.31,Ideal,D,VS2,62.2,56.0,734,4.32,4.36,2.7
0.31,Ideal,G,VS2,61.6,55.0,544,4.37,4.39,2.7
1.01,Good,E,SI1,62.6,61.0,4743,6.38,6.43,4.01
1.57,Premium,E,VS1,61.4,58.0,17175,7.44,7.48,4.58
0.91,Good,H,SI1,58.2,59.0,3855,6.36,6.4,3.71
1.27,Very Good,I,VS2,62.6,59.0,6007,6.86,6.95,4.32
0.7,Ideal,G,VS1,60.6,57.0,2535,5.75,5.7,3.47
1.5,Very Good,E,SI1,59.3,60.0,12247,7.4,7.5,4.42
0.71,Premium,F,VS1,61.8,59.0,2790,5.73,5.69,3.53
1.2,Very Good,F,VS2,62.9,57.0,9331,6.78,6.71,4.24
0.28,Very Good,F,VS1,62.1,59.0,487,4.16,4.21,2.6
1.54,Premium,I,SI2,62.4,59.0,6640,7.33,7.35,4.58
0.4,Good,D,VS2,61.2,62.0,827,4.7,4.75,2.89
1.12,Ideal,F,VVS2,61.4,57.0,9634,6.69,6.66,4.1
0.4,Ideal,H,VVS2,61.4,55.7,905,4.72,4.77,2.92
0.91,Premium,D,SI2,61.1,60.0,4123,6.24,6.29,3.83
0.3,Very Good,I,SI1,62.5,57.0,382,4.27,4.3,2.68
0.5,Ideal,F,VVS2,62.2,54.0,2052,5.09,5.11,3.17
0.56,Ideal,F,VS1,61.7,54.0,1915,5.28,5.32,3.27
1.43,Very Good,H,SI1,61.7,59.0,8654,7.23,7.29,4.48
0.51,Ideal,G,VVS2,61.5,57.0,1974,5.18,5.13,3.17
2.13,Ideal,H,SI1,62.2,55.0,18275,8.2,8.27,5.12
0.31,Good,G,VS1,63.2,57.0,625,4.28,4.33,2.72
0.9,Premium,G,SI1,62.6,62.0,3669,6.08,6.06,3.8
1.0,Very Good,E,SI2,63.3,55.0,4390,6.29,6.25,3.97
1.52,Ideal,H,SI1,61.5,58.0,10589,7.4,7.36,4.54
1.01,Very Good,E,SI1,62.6,57.0,4912,6.36,6.41,4.0
1.01,Premium,E,VS2,59.2,59.0,7287,6.67,6.6,3.93
1.22,Premium,H,VS2,61.4,62.0,5944,6.92,6.76,4.22
0.7,Very Good,E,SI1,59.4,63.0,2481,5.79,5.73,3.42
2.01,Ideal,H,SI1,62.1,56.0,14725,8.11,8.08,5.03
0.3,Ideal,E,VS2,62.2,56.0,658,4.28,4.3,2.67
0.58,Ideal,F,SI1,59.9,56.0,1442,5.41,5.47,3.26
1.01,Good,G,SI1,64.2,56.0,4138,6.38,6.26,4.05
1.01,Good,F,SI1,63.7,57.0,4989,6.4,6.35,4.06
0.78,Ideal,E,VS2,61.1,55.0,3713,5.99,5.96,3.65
0.72,Good,J,SI1,60.1,64.0,1663,5.83,5.75,3.48
1.52,Premium,D,SI1,59.5,61.0,12823,7.5,7.43,4.44
0.9,Good,I,IF,63.7,64.0,3669,6.07,6.02,3.85
0.29,Ideal,F,VS1,61.6,56.0,555,4.26,4.31,2.64
1.59,Ideal,G,VVS2,62.6,55.0,15823,7.47,7.44,4.67
1.01,Ideal,G,SI2,61.5,57.0,4299,6.5,6.42,3.97
0.32,Premium,G,IF,61.0,59.0,952,4.41,4.38,2.68
0.41,Very Good,G,SI1,63.4,57.0,861,4.73,4.7,2.99
1.52,Premium,H,SI2,62.6,60.0,6086,7.34,7.3,4.58
0.54,Ideal,G,VS1,62.2,56.0,1637,5.19,5.23,3.24
1.0,Very Good,E,SI1,63.3,57.0,5051,6.3,6.36,4.01
0.9,Good,F,VS2,60.0,58.0,4655,6.21,6.26,3.74
1.5,Very Good,I,VS1,62.7,59.0,9519,7.19,7.26,4.53
0.5,Premium,F,VS2,61.9,56.0,1654,5.13,5.08,3.16
0.9,Fair,G,SI1,65.4,57.0,3145,6.04,5.95,3.92
0.81,Ideal,E,VS1,61.6,55.0,4764,5.96,6.02,3.69
0.3,Very Good,G,VS1,62.4,58.0,605,4.22,4.24,2.64
1.34,Ideal,I,SI2,61.3,55.0,5778,7.16,7.12,4.38
0.71,Ideal,F,VVS2,61.6,56.0,4497,5.73,5.75,3.53
1.52,Fair,H,SI1,61.2,60.0,8818,7.39,7.29,4.49
1.1,Ideal,E,SI2,61.6,56.0,5174,6.64,6.61,4.08
1.51,Very Good,F,VS2,61.1,59.0,14165,7.32,7.37,4.49
0.91,Very Good,I,VS2,61.5,58.0,3994,6.2,6.23,3.82
1.01,Very Good,E,SI1,62.8,59.0,5416,6.41,6.45,4.04
1.09,Ideal,H,SI1,62.2,56.0,4871,6.59,6.56,4.09
0.7,Very Good,G,SI1,62.7,55.0,2281,5.63,5.66,3.54
0.85,Ideal,E,SI1,61.8,54.0,3167,6.1,6.14,3.78
0.58,Ideal,E,VS2,61.9,56.0,1670,5.34,5.38,3.32
2.0,Ideal,H,SI1,61.8,57.0,12654,8.05,8.01,4.96
0.59,Very Good,I,VVS1,62.8,58.0,1709,5.3,5.34,3.34
0.3,Ideal,G,VS2,61.0,57.0,484,4.33,4.36,2.65
1.26,Premium,G,VVS2,62.7,58.0,10302,6.95,6.86,4.33
0.73,Ideal,H,SI2,61.6,57.0,2260,5.79,5.81,3.57
1.2,Very Good,F,VS1,58.7,59.0,9574,6.89,7.07,4.1
1.75,Good,H,SI2,64.1,56.0,8385,7.59,7.55,4.85
0.81,Premium,H,VS1,61.7,58.0,3107,5.98,5.95,3.68
0.51,Very Good,F,VS1,63.3,59.0,1722,5.09,5.12,3.23
0.31,Premium,E,SI1,62.0,58.0,698,4.35,4.3,2.68
0.36,Ideal,D,SI1,60.6,56.0,794,4.63,4.58,2.79
0.72,Ideal,E,SI1,60.8,57.0,3409,5.77,5.8,3.52
1.51,Ideal,G,SI1,62.9,57.0,11255,7.3,7.27,4.58
0.59,Ideal,D,SI1,61.7,56.0,1671,5.39,5.43,3.34
0.9,Very Good,H,VVS2,63.5,55.0,4963,6.14,6.08,3.88
0.91,Very Good,F,VVS2,62.6,59.0,5733,6.1,6.16,3.84
1.22,Ideal,G,VS2,61.4,56.0,8213,6.88,6.9,4.23
0.42,Premium,F,VVS2,59.6,59.0,1221,4.86,4.83,2.89
0.9,Good,H,SI1,66.1,57.0,3282,5.94,5.99,3.94
1.52,Ideal,F,SI1,61.5,55.0,12477,7.44,7.41,4.57
0.3,Ideal,F,VS2,63.0,55.0,673,4.29,4.28,2.7
0.61,Ideal,D,VVS2,62.4,58.0,3036,5.38,5.42,3.37
0.71,Ideal,F,SI1,60.7,56.0,2770,5.77,5.8,3.51
0.55,Premium,F,VS2,59.0,58.0,1931,5.38,5.33,3.16
0.9,Very Good,H,VS1,63.0,59.0,4136,6.1,6.13,3.85
0.7,Very Good,G,SI1,61.8,56.0,2106,5.7,5.76,3.54
0.52,Ideal,D,VS2,61.8,56.0,1919,5.17,5.15,3.19
1.22,Very Good,I,VS2,59.6,58.0,6419,6.95,6.98,4.15
0.62,Ideal,F,VS1,61.9,55.0,2344,5.46,5.19,3.39
0.26,Ideal,G,SI1,62.0,54.0,394,4.08,4.11,2.54
0.41,Ideal,E,VVS2,61.9,56.0,1243,4.78,4.75,2.95
0.33,Premium,E,VS2,61.0,60.0,723,4.43,4.46,2.71
